program,url,title,text,text_length
books,https://yessenovfoundation.org/en/about-us/programs/knowledge/books/atlas-from-altai-to-the-caspian-sea/,"Atlas ""From Altai to the Caspian Sea"" — Shakhmardan Yessenov Foundation","Atlas “From Altai to the Caspian Sea”
Atlas of monuments, sights of history, culture and geography “From Altai to the Caspian Sea” is a unique publication, which goal is to provide accessible information about our country that will allow both Kazakhstanis and foreigners to learn a lot about Kazakhstan, culture and its history. We also hope you will make amazing discoveries about unique sights, natural landscapes and a great desire will spark to visit these amazing places of history, culture and geography.
Works to create this singular publication were conducted for 5 years. This was a lengthy and fundamental project that introduced a three-volume first edition in Kazakh and Russian that provides comprehensive information about Kazakhstan.
The authors of the popular scientific articles of the Atlas are scientists and specialists who have been directly involved in the study of monuments for many years and have made considerable efforts to preserve them. The studies were conducted in five geographic regions of Kazakhstan. Participants of the scientific expeditions literally covered a huge area from Altai to the Caspian Sea to explore the already known and seek new monuments of archeology, architecture and history with the subsequent documentation and ethnographic research.
The publication is designed for different categories of readers: from schoolchildren and students to specialists in the social sciences. Through history, culture and geography of Kazakhstan, many Kazakhstanis will re-discover their way to the heritage of their ancestors and learn more about their country.
Seen by: 1,233",1612
books,https://yessenovfoundation.org/en/about-us/programs/knowledge/books/guide-on-admission-to-the-internship-and-phd/,Guide on admission to the internship and PhD — Shakhmardan Yessenov Foundation,"Guide on admission to the internship and PhD
(Қаз) Нұсқаулықта шетелдік Жоғарғы оқу орындарына тағылымдама және Ph.D. алу мақсатымен оқуға түсу процестерінің қыр-сырлары баяндалады. Ұсыным хатының ролі. Ынта таныту эссесін қалай жазу керек? Түйіндемені дайындағанда қандай өзекті жағдайларға мән беру қажет? Шетелдік ЖООның профессорларымен байланысты қалай ұстайды? Және ең бастысы, осындай кезеңдерден нәтижелі өте алған студенттердің ақыл-кеңестері мен ұсыныстарымен таныса аласыз.
The manual details the process of admission for internships and Ph.D. in foreign universities. The role of the letter of recommendation. How to write a motivational essay? What should I look for in my resume? How to communicate with professors of foreign universities? And most importantly, in it you will find advice and recommendations from students who have successfully passed these stages!
Seen by: 825",892
books,https://yessenovfoundation.org/en/about-us/programs/knowledge/books/kapitsa-everything-is-simple-is-the-truth/,"P.L. Kapitsa ""Everything is simple is the truth"" — Shakhmardan Yessenov Foundation","P.L. Kapitsa “Everything is simple is the truth”
Originally, the book “All Simple is The Truth” was published on the 100th anniversary of Kapitsa’s birth by the publishing office of the Moscow Physical-Chemical Institute in 1994. Pyotr Evgenyevich Rubinin, Kapitsa’s colleague, acted as the author of the book.
In the history of any science there are names which are known to everybody, even to those who are not especially interested in this science. Isaac Newton and Albert Einstein, Nikolay Lobachevsky and Dmitry Mendeleyev, Shoqan Walikhanov and Kanysh Satpayev – all these are names that remind us of the immortality of genius, of eternal scientific research, human decency, and civil courage.
Among these names is the name of Pyotr Leonidovich Kapitsa (1894-1984). One of the greatest physicists of the 20th century, he lived a long and difficult life, navigating the storms of his era while maintaining his morals, devotion to his friends and his eternal optimism.
The book is designed for a wide range of readers, from high school and college students to professionals in various areas of science, which makes it a sought-for piece. The publication will be of a great interest to many Kazakhstanis familiar with P.L.Kapitsa and his works.
Seen by: 1,367",1262
books,https://yessenovfoundation.org/en/about-us/programs/knowledge/books/physics-in-comics/,Physics in Comics — Shakhmardan Yessenov Foundation,"Physics in Comics
Physics is all around us! Shakhmardan Yessenov Foundation collaborated with Khan Comics art-studio is publishing the first Kazakhstani action comic book, where the main characters are acquainted with everyday physics in adventures. Comics are oriented to teenagers and 6+ children, but they will also be interesting for adults.
If you always understood why different time zones exist, but did not think about what they might mean, then you will like the comic. We are to publish 10 comics in Kazakh and Russian, with 2,000 copies of an each issue of the comic. The comic is based on the work of the great science popularizer Yakov Perelman, “Zanimatelnaia Fizika”. Yakov Perelman’s work is very relevant, and for our part, we visualized the information in his works in order to meet the requirements of the present time and graphically understand information. Our main message in comics is the presence of physics and the laws of nature in everyday life and we want to demonstrate that physics is primarily around us, and not just in textbooks.
Comic book characters – four teenagers – explore the world around them, visit the sights of Kazakhstan, and help Physics, the hero of the first comic book story arc, restore balance in nature. Each hero has hiw own unique character, skills, strengths and weaknesses. You can purchase comics in all major bookstores in Kazakhstan.
Seen by: 2,011",1407
books,https://yessenovfoundation.org/en/about-us/programs/knowledge/books/scientific-conferences/,Scientific Conferences — Shakhmardan Yessenov Foundation,"Scientific Conferences
International Scientific and Practical Conference “Minerageny of Kazakhstan”. 2017
This year on September 21-22 there has been the International Scientific and Practical Conference “Minerageny of Kazakhstan” organized in Almaty in the conference hall of the K. I. Satbayev Institute of Geological Sciences, which was dedicated to the 90th anniversary of the birth of a prominent scientist and production organizer, a well-known statesman, educator of engineering workforce and academician Shakhmardan Yessenov.
The conference was held under the auspices of the Ministry of Investment and Development of the Republic of Kazakhstan, the Ministry of Energy of the Republic of Kazakhstan, the Ministry of Education and Science of the Republic of Kazakhstan, as well as the Committee of Geology and Mineral Resources of the Republic of Kazakhstan.
Organizers of the conference: Shakhmardan Yessenov Science and Education Foundation, Academy of Mineral Resources of the Republic of Kazakhstan, K. I. Satbayev Institute of Geological Sciences, Satbayev University.
“Science on Earthquakes and their Risks in Central Asia” Almaty, September 2016
General objectives:
- to address the modern understanding of the nature of earthquakes, the threats coming from them, the state of current work and applied techniques for studying active tectonics in Central Asia;
- to create a forum for discussing various strategies aimed at mitigating earthquake risks;
- to establish effective communications between science, the public and government institutions in order to develop and implement appropriate policies.
Specific objectives:
- to promote the development of the science on earthquakes by way of sharing research results and modern research techniques;
- to inspire and encourage earthquake researchers in Kazakhstan;
- to raise awareness among the public and officials responsible for public safety about realistic strategies to reduce earthquake risks.
Venue: K. I. Satbayev Institute of Geological Sciences (Kabanbay Batyr street on the corner of С. Valikhanov street, 69/94)
This conference is supported by the Shakhmardan Yessenov Science and Education Foundation having a long tradition of encouraging geological studies and related education in Kazakhstan. Among the co-hosts of the conference are the Institute of Seismology of the Republic of Kazakhstan, the National Research Technical University of the Republic of Kazakhstan and the project “Earthquakes Without Borders” * (Great Britain).
* The project “Earthquakes Without Borders” has been organized by scientists from British universities and other institutions and represents partnership between independent earthquake researchers and social scientists in countries that make up the large earthquake-prone belt from Italy to China. One of the objectives of the project is to increase the level of development of the science on earthquakes and mitigate risks related thereto by way of sharing knowledge, information, techniques and research data between partner countries ( http://ewf.nerc.ac.uk/).
- Read more: here
Seen by: 1,546",3110
books,https://yessenovfoundation.org/en/about-us/programs/knowledge/books/socrates/,Socrates — Shakhmardan Yessenov Foundation,"Socrates
This is a book about Socrates – a man whose contribution to the history of knowledge is truly invaluable. Paradoxically, although his name is known to everyone, there are few reliable facts about his life and teachings. All that we know is contained in the writings of his students or writers of subsequent eras. He himself did not leave a single line. Therefore, it is so difficult to separate the myths that formed over two and a half thousand years around Socrates, from its historical appearance. In this book, the authors tell about this and the other. And about a man who lived a bright life, filled with intellectual and very real adventures. And about the legendary sage who taught people the most important thing – the ability to ask questions correctly. That is, the ability to think properly.
We would not know anything about Socrates, were it not for his two most devoted disciples, the great philosopher Plato, who told of Teacher as a thinker, and the brave warrior, talented strategist Xenophon, who draws Teacher from the personal side. They are also full-fledged heroes of this book, telling not only about Socrates, but also about an entire era – perhaps the most important epoch in the history of Western thought.
Buy a book: here
Seen by: 1,398",1273
books,https://yessenovfoundation.org/en/about-us/programs/knowledge/books/the-secrets-of-usturt/,The Secrets of Usturt — Shakhmardan Yessenov Foundation,"The Secrets of Usturt
The book is based on materials from the “The Secrets of Usturt” expedition, which was initiated by Margulan Seisembai. Over 250 travelers in 97 SUV’s, in love with the nature of their native land, traveled around the peninsula in 7 days, visited its legendary natural and man-made monuments, met hospitable residents of the region.
We hope that the book will also help you discover Mangystau, and you will want to come here yourself. The guide contains photo cards that can be sent by mail, expedition map, travel tips and brief descriptions of attractions. The publication used high-quality photographs of expedition members.
The guide “The Secrets of Usturt” was released in 1000 copies, in Kazakh, English and Russian. A gift version is also available.
Seen by: 2,520",792
yessenov-launch-pad,https://yessenovfoundation.org/en/about-us/programs/resources/yessenov-launch-pad/eng-yessenov-launch-pad-2025/,Yessenov Launch Pad 2025 — Shakhmardan Yessenov Foundation,"Yessenov Launch Pad 2025
PLEASE CAREFULLY STUDY THE PROVISIONS OF THE PROGRAM AT THE BOTTOM OF THE PAGE.
The Shakhmardan Yessenov Foundation provides ten (10) grants for additional training in hard skills and/or soft skills.
If you are:
- A citizen of the Republic of Kazakhstan;
- Student from Kazakhstani university or working professional;
- Specializing in natural sciences, mathematics and statistics, information and communication technologies, engineering, manufacturing and construction industries and healthcare.
- You want to upgrade your soft and/or hard skills.
You have the chance to BECOME A GRANT WINNER AND take online/offline training up to 12 months!
The grant amount is 600 000 tenge!
To do so submit your application down below, including the following documents before October 14, 2025.
Required documents:
- Scan of the identity card;
- Аn essay explaining why he/she needs additional skills and how they will affect his/her professional and personal life;
- СV.
Additional documents:
- A portfolio showcasing the candidate’s achievements and/or expressed interests in a specific area, in accordance with clause 3.1. of Provisions, and provide relevant evidence – no more than three (3) documents;
- Recommendations – no more than one (1) document;
- Certificates confirming academic achievements, success in research and/or engineering activities, participation in conferences, seminars of different levels – no more than three (3) documents*;
- Own, collaborative publications – no more than two (2) publications;
- Diploma (last place of study), if available – no more than one (1) document;
- Social activities and volunteering certificates – no more than two (2) certificates*
*The Foundation considers a limited number of certificates. The candidate must independently select the certificates that best showcase his/her achievements.
 Provisions
Downloaded: 210, Size: 0
 List of the 2nd round participants
Downloaded: 119, Size: 0
 List of Winners
Downloaded: 106, Size: 0
Seen by: 1,712",2016
yessenov-launch-pad,https://yessenovfoundation.org/en/about-us/programs/resources/yessenov-launch-pad/yessenov-launch-pad-2023/,Yessenov Launch Pad 2024 — Shakhmardan Yessenov Foundation,"Yessenov Launch Pad 2024
PLEASE CAREFULLY STUDY THE PROVISIONS OF THE PROGRAM AT THE BOTTOM OF THE PAGE.
The Shakhmardan Yessenov Foundation provides ten (10) grants for additional training in hard skills and/or soft skills.
If you are:
- A citizen of the Republic of Kazakhstan;
- Student from Kazakhstani university or working professional;
- Specializing in natural sciences, mathematics and statistics, information and communication technologies, engineering, manufacturing and construction industries and healthcare.
- You want to upgrade your soft and/or hard skills.
You have the chance to BECOME A GRANT WINNER AND take online/offline training up to 12 months!
The grant amount is 600 000 tenge!
To do so submit your application down below, including the following documents before May 16, 2024.
Required documents:
- Scan of the identity card;
- Аn essay explaining why he/she needs additional skills and how they will affect his/her professional and personal life;
Additional documents:
- A portfolio showcasing the candidate’s achievements and/or expressed interests in a specific area, in accordance with clause 3.1. of Provisions, and provide relevant evidence – no more than three (3) documents;
- Recommendations – no more than one (1) document;
- Certificates confirming academic achievements, success in research and/or engineering activities, participation in conferences, seminars of different levels – no more than three (3) documents*;
- Own, collaborative publications – no more than two (2) publications;
- Diploma (last place of study), if available – no more than one (1) document;
- Social activities and volunteering certificates – no more than two (2) certificates*
*The Foundation considers a limited number of certificates. The candidate must independently select the certificates that best showcase his/her achievements.
 Provisions
Downloaded: 237, Size: 60.5 KB
 List of the 2nd round participants
Downloaded: 142, Size: 14.2 KB
 List of the winners
Downloaded: 228, Size: 13.1 KB
Seen by: 1,710",2028
yessenov-launch-pad,https://yessenovfoundation.org/en/about-us/programs/resources/yessenov-launch-pad/ylp-2022/,Yessenov Launch Pad 2022 — Shakhmardan Yessenov Foundation,"Yessenov Launch Pad 2022
The Shakhmardan Yessenov Science and Education Foundation announces the opening of a new competition for 10 grants for IT specialists who wish to development of hard skills and / or soft skills.
If you are:
- A citizen of the Republic of Kazakhstan;
- Enrolled at a university in Kazakhstan or IT-specialist;
- Specializing in information and communication technologies and/or serving as an IT specialist;
- You want to upgrade your soft and hard skills.
You have the chance to BECOME A GRANT WINNER AND take online/offline training up to 12 months!
To do so submit your application down below, including the following documents before April 22, 2022:
Required documents:
- Scan of the identity card;
- A letter of motivation, in which he should disclose why he needs additional skills and how they will affect his professional and personal life;
- CV.
Additional documents:
- A portfolio demonstrating the candidate’s achievements and/or expressed interests in a particular area of the IT-sphere and provide relevant evidence: – no more than 3 documents;
- Recommendations – no more than 1 document;
- Certificates for academic achievements, successes in research and/or engineering activities, participation in conferences, seminars of different levels – not more than 3 documents*;
- Own, collective publications – no more than 2;
- Diploma if available (last place of study) – no more than 1 document;
- Certificates for social activity and volunteering – no more than 2 certificates*.
*The Foundation is considering a limited number of certificates. The candidate must self-select the certificates that best reflect his/her achievements.
 Provisions
Downloaded: 289, Size: 32.2 KB
 List of the 2nd round participants
Downloaded: 283, Size: 12.2 KB
 Winners
Downloaded: 229, Size: 11.5 KB
Seen by: 1,216",1832
